sample,Hash,nReads,kingdom,phylum,class,order,family,genus,species,Host_name,Host_DNA
Gb_BS_imp_18R6_s_38,7746f30d554deceeedfa5e2e5c4bd94796d6ea6a,15,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,4bf4954bd8c8356da1a9a43e4ae28ec8e2976902,14,Chromista,Oomycota,NA,Peronosporales,Peronosporaceae,Phytophthora,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,17977b1835fe30c16f675eebc01b63fe9e282039,13,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,25457a4f78a786e1f0134d2c2ea14034d4ff7ec0,12,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Lafoeidae,Lafoea,Lafoea dumosa,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,87f656d49683488ca802a9217367d84f93e83c30,12,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,d586df09a3d23bc061a5ad33906319f018244202,12,Metazoa,Porifera,Demospongiae,Poecilosclerida,Crellidae,Crella,Crella sp.,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,47497034d8dffeaefc3b3af2d570bd81731e5f45,10,Metazoa,Mollusca,Gastropoda,NA,Planorbidae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,dfc4be24e9f1c1daccf07a3cb46b52a58f4aebc8,9,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia homoia,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,a0bb10623f672ff04875ef0200dbe5f2fd47162b,8,Viridiplantae,Streptophyta,Charophyceae,Charales,Characeae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,a6a8785acb644eb110c26a7b2549181b2154607a,8,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Edenia,Edenia gomezpompae,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,2aadb421d234d9f64caa448b74328caf71e63622,7,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,2eb67e8a9f714a453ba26ff20f2ef0523c7956a9,7,Metazoa,Arthropoda,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,9215504ac8ba6b478447b7e41c4ae51725215431,7,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia hentscheli,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,f8717974867981f03b5cf093d188b4162c793533,7,Metazoa,Arthropoda,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,70042ebddb6a344d5217adfbc26a079f6142e5c8,6,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,f747aa0661499cdfe76c13efc72a89e605420da5,6,Metazoa,Cnidaria,Anthozoa,Actiniaria,NA,NA,Actiniaria sp.,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,147926f145226aa9d4f7d549c559862452a60aff,5,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,Vesicomya sp. endosymbiont,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,30a89317f2379e97405d8fa00714a751ae60ac3f,5,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,c954c8f5d470d21b672dc28fd748b13103f95590,5,Chromista,Oomycota,NA,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora multivesiculata,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,dcf613c822a06f08ba8587c1683b16bee05cc402,5,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,5674e1282a5db0d35d119bb2b79da20ce95e681d,3,Metazoa,Mollusca,Bivalvia,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,a2f4001c86bc2046dba0a666e88c2b09af28a90f,3,Metazoa,Arthropoda,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,f741da7b9dac7c394fec8fa0c5f0a5bd441132ba,3,Chromista,Phaeophyta,Phaeophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,250067dcb9addae1b49cb421dc199831435afd96,2,Chromista,Oomycota,NA,Pythiales,Pythiaceae,Pythium,Pythium sp. WJB-1,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,95b07f0e932b2d241504fa94d8892d299aa8b4e5,2,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_18R6_s_38,a5acc2da72ecf4509fd1ad865cb32195e4d87f16,2,Chromista,Oomycota,NA,Peronosporales,Peronosporaceae,Phytophthora,NA,Geodia barretti,nsDNA
Gb_BS_imp_23W4_s_37,f44ac08e3c5cfad380cfa3d770592e146930c7f2,58234,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_imp_23W4_s_37,6d6f14d6ba7aa6b49ddcda03715674e65f4792a9,672,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_23W4_s_37,9aef3586aa256c6e06806ccb09ae7bb0a0f24341,570,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_23W4_s_37,f600aa5d03b5d3e57316854cf96ee7695f04454c,17,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Microcalanus,Microcalanus pusillus,Geodia barretti,nsDNA
Gb_BS_imp_23W4_s_37,739346680c620bc482ee29b5bbe2c37a9512e0bd,7,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_imp_23W4_s_37,2902a0db8427bfc5ddff4fc418bc3cfe537538e4,6,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia hentscheli,Geodia barretti,nsDNA
Gb_BS_imp_23W4_s_37,96dcd261bfa6484f9b2b28af48ffdd5ddeeb5935,3,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia parva,Geodia barretti,nsDNA
Gb_BS_imp_23W4_s_37,d0e7fc10597fbd4e38adfa9ec129815add14008d,3,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_23W4_s_37,e38b8a2f228596ed9eb0187c4d1b88e5fd23d08f,3,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_imp_9I4_s_39,f44ac08e3c5cfad380cfa3d770592e146930c7f2,31319,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_imp_9I4_s_39,9aef3586aa256c6e06806ccb09ae7bb0a0f24341,888,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,6d6f14d6ba7aa6b49ddcda03715674e65f4792a9,133,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,61316716168d01b71b72a5140a56d94ded89efb2,23,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,25457a4f78a786e1f0134d2c2ea14034d4ff7ec0,14,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Lafoeidae,Lafoea,Lafoea dumosa,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,3d3c4c498146b4d1c110d2ca0a78dd2f851304f7,14,Other Eukaryota,NA,Dinophyceae,NA,NA,NA,uncultured dinoflagellate,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,41c96d0bf5153b337439b4aba469394c2ffd8980,13,Chromista,Oomycota,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,975b5475c0b84c4bcc15f8224d54e81762353d26,11,Chromista,Phaeophyta,Phaeophyceae,Ectocarpales,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,6986923de2bd8f33f86e7a3681ee73ddf924472e,10,Chromista,Oomycota,NA,Pythiales,Pythiaceae,Pythium,Pythium insidiosum,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,cee4f91a9bc413a3b4ee2829995ea9923857fb29,10,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,21fb0902032e6d1b6e3a9b3ee02315a67bd99c1f,8,Chromista,Phaeophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Microspongium,Microspongium tenuissimum,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,2db851d5599c838169714d594feb25e28e57fcbc,8,Chromista,Bacillariophyta,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,a6637f06effa093dcb18c85690c0f53a5f849037,8,Metazoa,Arthropoda,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,16195c9879a3c3b9e997f3344619f5f9192d42f1,7,Chromista,Oomycota,NA,Peronosporales,Peronosporaceae,Phytophthora,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,cacb2c0c381be137cae62819c34d983fac34e746,7,Chromista,Oomycota,NA,Peronosporales,Peronosporaceae,Phytophthora,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,2df7be3784bcee97920ac87bd04b7d2b430c26b0,6,Metazoa,Echinodermata,Holothuroidea,Aspidochirotida,Stichopodidae,Parastichopus,Parastichopus tremulus,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,436c7392e82e272d231ccb65c5b3fe28256d2780,6,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis adhaerens,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,af46c70011e355061c8ad400acbcb3bbe4eb7a48,6,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,Praya,Praya dubia,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,d91e4f5a7edc004a4ac60506d91bf2a3ed5b17f1,6,Viridiplantae,Chlorophyta,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,c3294d02eb0355ea10c2fe91a032b37a6c7ed042,5,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,4bf4954bd8c8356da1a9a43e4ae28ec8e2976902,3,Chromista,Oomycota,NA,Peronosporales,Peronosporaceae,Phytophthora,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,8024afae93a83cc27b13d928604226a8c61a16e5,3,Metazoa,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,a0bb10623f672ff04875ef0200dbe5f2fd47162b,3,Viridiplantae,Streptophyta,Charophyceae,Charales,Characeae,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,d8ed22edb9b4c9c2eccdde41cecb635458209e93,3,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Euthora,Euthora cristata,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,f8d0ef35fda4dd349e3a8a20e3850d39fe6e9f3c,3,Chromista,Phaeophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,0f7343a82b761ef0684b8cd3d1b386090839652c,2,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,a2f466122e6641bd73b57cfd68a35f92f334982e,1,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia hentscheli,Geodia barretti,nsDNA
Gb_BS_imp_9I4_s_39,f680797283ab6c011edfd99da6e72c35ab734389,1,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_unimp_14N5_s_41,f44ac08e3c5cfad380cfa3d770592e146930c7f2,92669,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_unimp_14N5_s_41,6d6f14d6ba7aa6b49ddcda03715674e65f4792a9,433,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,15bb92b48493f01700200f1ba03a74fd72361f68,49,Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Ophiacanthidae,Ophiacantha,Ophiacantha abyssicola,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,a899e8d63424b746c8e025721be11c50778fcb15,48,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia hentscheli,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,4ea2927cbeb3631ea997eb64ef136172b079b020,34,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,78ee1942884f21cb2ce3ed44b9338a82b3ceb8ef,20,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,b8e79cbaa0e7d98e89ad26a12d3546403e660bbd,18,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,9b193933508b12dc6873649fcb7ea8a6c362348e,13,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,db3ad417377cd10aaa1550c04cfc3e8acacce61c,12,Chromista,Phaeophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,6af8f6ce1ad03146b0323cd99b9958040c755c02,9,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,409153d7ec8b5723a507ca53505c97f4c5df28ad,7,Other Eukaryota,NA,Dinophyceae,Gymnodiniales,Kareniaceae,NA,uncultured Kareniaceae,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,61316716168d01b71b72a5140a56d94ded89efb2,7,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,d3e9d5cee0e3b6c98eff6c7defd69f5d81fa1830,7,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Lafoeidae,Lafoea,Lafoea dumosa,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,02d0a3235636d5b4f5d006ab167f33846eb328d4,5,Metazoa,Cnidaria,Anthozoa,Pennatulacea,Virgulariidae,Virgularia,Virgularia sp.,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,e6d4715e32e4eda1d4e2728323360dfa3f955c18,5,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_unimp_14N5_s_41,0ba85c8a5083228f4c6508e7eec25d60bdfdb378,4,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia phlegraei,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,bfd82893018434dca1e446edd3ad99661e37305a,4,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,7d50b92ac557759c682506e29ee7252dd4e7ec04,3,Chromista,Phaeophyta,Phaeophyceae,Ectocarpales,Acinetosporaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,caec9eb8ae3001c2d1102d260d30af214d133bae,3,Chromista,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,3acf8329fa34b03b49ac81ee5be164f85732bf41,2,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,51e9b4edf20079169560eee3c351076206a33adf,2,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,5d705c84af0803cda3869d5c53ffab4396837d51,2,Chromista,Oomycota,NA,Pythiales,Pythiaceae,Pythium,Pythium acanthicum,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,96dcd261bfa6484f9b2b28af48ffdd5ddeeb5935,2,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia parva,Geodia barretti,nsDNA
Gb_BS_unimp_14N5_s_41,cd691b2146780fd146bb78a7c3fb0290231b99d0,2,Other Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia delicatula,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,f44ac08e3c5cfad380cfa3d770592e146930c7f2,38858,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,Geodia barretti,Host DNA
Gb_BS_unimp_3C6_s_43,390863cd1e80f7b591a77e6886cfad5c66b2a0bc,1264,Metazoa,Porifera,Demospongiae,Haplosclerida,Petrosiidae,Petrosia,Petrosia crassa,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,780a370742f1631db2a7976df61372d17dadf1d0,30,Metazoa,Cnidaria,Anthozoa,Alcyonacea,Nephtheidae,Gersemia,Gersemia rubiformis,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,3d3c4c498146b4d1c110d2ca0a78dd2f851304f7,19,Other Eukaryota,NA,Dinophyceae,NA,NA,NA,uncultured dinoflagellate,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,f634cb7a8f614dd00d415d1fc8205c73e6a9866c,19,Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Ophiacanthidae,Ophiacantha,Ophiacantha abyssicola,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,261e6afe4a0234f62cbe439b48abc33b12c8f708,12,Metazoa,Arthropoda,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,d1f4b8779df149d66ad92d48e3c11190e7477129,8,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,00ade221c95d830efd6508db58b7a04a2158a269,7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,b397b29c3de19976cc71dc045cff67810975d3d6,6,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,c3294d02eb0355ea10c2fe91a032b37a6c7ed042,6,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,697fbe5e6d2f6b4cf245da433e53d868cd1acfbc,5,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,5,Other Eukaryota,Haptophyta,NA,Isochrysidales,Noelaerhabdaceae,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,c7b720be1cd4f51e363853de23e63ba5f463f993,5,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,d0e7fc10597fbd4e38adfa9ec129815add14008d,5,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,03f190581859583c267a8eda0f3a704a34b5513e,4,Metazoa,NA,NA,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,c3ef5a22432bc4b5107f519834256e9ae74f5f95,4,Metazoa,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus longdong,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,0ba85c8a5083228f4c6508e7eec25d60bdfdb378,3,Metazoa,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia phlegraei,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,9b0959bc517a1503a248d86aeb5b68151dd9cfcd,3,Metazoa,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Paramuricea,Paramuricea sp.,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,9fec21ed61a5a0d1c6a6884b068a650682267296,3,Chromista,Phaeophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,Ralfsia,Ralfsia fungiformis,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,ccc9bbe8903995196eab4faa986e378dfba73ca4,3,Metazoa,Mollusca,Gastropoda,NA,NA,NA,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,1c99f89f3ae48229ed94a3ec57ae4f8ab4c0459c,2,Chromista,Myzozoa,Dinophyceae,Syndiniales,Syndiniaceae,Hematodinium,NA,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,3fea894c5325e17252363030d2670b45b248d03b,2,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,Bossiella orbigniana,Geodia barretti,nsDNA
Gb_BS_unimp_3C6_s_43,49a8f6870a88507f091f630f08aad4627c9a8ede,1,Metazoa,Porifera,Demospongiae,Axinellida,Axinellidae,Axinella,Axinella infundibuliformis,Geodia barretti,nsDNA
